#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last
Cc1,CH8,Market Price,2018-01-10T15:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.75,348.25,349.5
Cc1,CH8,Market Price,2018-01-10T16:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,349.25,349.5
Cc1,CH8,Market Price,2018-01-10T17:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,349.0,349.5
Cc1,CH8,Market Price,2018-01-10T18:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,348.0,348.75
Cc1,CH8,Market Price,2018-01-10T19:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.25,348.25,349.0
Cc1,CH8,Market Price,2018-01-11T01:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.0,348.5,348.75
Cc1,CH8,Market Price,2018-01-11T02:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-11T03:00:00.000000000Z,-6,Intraday 1Hour,349.0,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-11T04:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-11T05:00:00.000000000Z,-6,Intraday 1Hour,348.75,349.0,348.75,349.0
Cc1,CH8,Market Price,2018-01-11T06:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.25,349.0,349.25
Cc1,CH8,Market Price,2018-01-11T07:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,349.0,349.5
Cc1,CH8,Market Price,2018-01-11T08:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,349.25,349.5
Cc1,CH8,Market Price,2018-01-11T09:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.75,349.25,349.5
Cc1,CH8,Market Price,2018-01-11T10:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,349.25,349.25
Cc1,CH8,Market Price,2018-01-11T11:00:00.000000000Z,-6,Intraday 1Hour,349.5,349.5,349.25,349.25
Cc1,CH8,Market Price,2018-01-11T12:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.5,349.0,349.25
Cc1,CH8,Market Price,2018-01-11T13:00:00.000000000Z,-6,Intraday 1Hour,349.25,349.25,348.5,348.75
Cc1,CH8,Market Price,2018-01-11T14:00:00.000000000Z,-6,Intraday 1Hour,348.5,349.0,348.0,348.5
